DDB_G0295699	DDB_G0272791
DDB_G0274093	DDB_G0272624
DDB_G0274091	DDB_G0272626
DDB_G0274089	DDB_G0272793
DDB_G0274087	DDB_G0272873
DDB_G0274085	DDB_G0272628
DDB_G0274083	DDB_G0272630
DDB_G0274081	DDB_G0272632
DDB_G0274079	DDB_G0272634
DDB_G0274077	DDB_G0273051
DDB_G0274075	DDB_G0273053
DDB_G0274073	DDB_G0273027
DDB_G0274071	DDB_G0273029
DDB_G0274069	DDB_G0272636
DDB_G0274067	DDB_G0272638
DDB_G0274065	DDB_G0272640
DDB_G0274063	DDB_G0272642
DDB_G0274061	DDB_G0272644
DDB_G0274059	DDB_G0272568
DDB_G0274057	DDB_G0272646
DDB_G0274055	DDB_G0272648
DDB_G0274053	DDB_G0272650
DDB_G0274051	DDB_G0272875
DDB_G0274049	DDB_G0272877
DDB_G0274047	DDB_G0272879
DDB_G0274045	DDB_G0272795
DDB_G0274043	DDB_G0273031
DDB_G0274041	DDB_G0273033
DDB_G0274039	DDB_G0272881
DDB_G0274037	DDB_G0272606
DDB_G0274035	DDB_G0272608
DDB_G0274033	DDB_G0273035
DDB_G0274031	DDB_G0272610
DDB_G0274029	DDB_G0273037
DDB_G0274027	DDB_G0272612
DDB_G0274025	DDB_G0272614
DDB_G0274023	DDB_G0272560
DDB_G0274023	DDB_G0272560
DDB_G0274021	DDB_G0272616
DDB_G0274019	DDB_G0272618
DDB_G0274017	DDB_G0273039
DDB_G0274015	DDB_G0272883
DDB_G0274013	DDB_G0272620
DDB_G0274011	DDB_G0272885
DDB_G0274009	DDB_G0272622
DDB_G0274007	DDB_G0272797
DDB_G0274005	DDB_G0272887
DDB_G0274003	DDB_G0272578
DDB_G0274001	DDB_G0272889
DDB_G0273999	DDB_G0272580
DDB_G0273997	DDB_G0273041
DDB_G0273995	DDB_G0272799
DDB_G0273993	DDB_G0272582
DDB_G0273991	DDB_G0272584
DDB_G0273989	DDB_G0272586
DDB_G0273987	DDB_G0272891
DDB_G0273985	DDB_G0272801
DDB_G0273983	DDB_G0272893
DDB_G0273981	DDB_G0272588
DDB_G0273979	DDB_G0272564
DDB_G0273977	DDB_G0272590
DDB_G0273975	DDB_G0272592
DDB_G0273973	DDB_G0272594
DDB_G0273971	DDB_G0272895
DDB_G0273969	DDB_G0272803
DDB_G0273967	DDB_G0272805
DDB_G0273965	DDB_G0272897
DDB_G0273963	DDB_G0272596
DDB_G0273959	DDB_G0272598
DDB_G0273959	DDB_G0272598
DDB_G0273955	DDB_G0272901
DDB_G0273953	DDB_G0272903
DDB_G0273951	DDB_G0272600
DDB_G0273949	DDB_G0272807
DDB_G0273947	DDB_G0272602
DDB_G0273945	DDB_G0272604
DDB_G0273943	DDB_G0273045
DDB_G0273941	DDB_G0273047
DDB_G0273939	DDB_G0272570
DDB_G0273937	DDB_G0272572
DDB_G0273935	DDB_G0272905
DDB_G0273933	DDB_G0273049
DDB_G0273931	DDB_G0272574
DDB_G0273929	DDB_G0272907
DDB_G0273927	DDB_G0272576
